class,seed,pretrain_seed,method,auroc,auprc
class_Statin,48,2,finlayson_concat,0.7633333333333333,0.039596273291925464
class_Statin,49,0,finlayson_structure,0.9566666666666667,0.5666666666666667
class_Statin,49,0,finlayson_expression,0.9733333333333333,0.6
class_Statin,49,0,finlayson_concat,0.9766666666666667,0.6111111111111112
class_Statin,49,1,finlayson_structure,0.9733333333333333,0.6
class_Statin,49,1,finlayson_expression,0.9533333333333333,0.5625
class_Statin,49,1,finlayson_concat,0.98,0.625
class_Statin,49,2,finlayson_structure,0.9233333333333333,0.2916666666666667
class_Statin,49,2,finlayson_expression,0.97,0.5909090909090909
class_Statin,49,2,finlayson_concat,0.9466666666666667,0.3088235294117647
class_Statin,50,0,finlayson_structure,1.0,1.0
class_Statin,50,0,finlayson_expression,0.8033333333333333,0.5163934426229508
class_Statin,50,0,finlayson_concat,0.9866666666666667,0.6666666666666666
class_Statin,50,1,finlayson_structure,0.8966666666666667,0.5303030303030303
class_Statin,50,1,finlayson_expression,0.7666666666666666,0.5138888888888888
class_Statin,50,1,finlayson_concat,0.88,0.5263157894736842
class_Statin,50,2,finlayson_structure,0.8566666666666667,0.2727272727272727
class_Statin,50,2,finlayson_expression,0.7333333333333334,0.5121951219512195
class_Statin,50,2,finlayson_concat,0.8200000000000001,0.2681818181818182
class_Statin,51,0,finlayson_structure,0.9933333333333334,0.75
class_Statin,51,0,finlayson_expression,0.8066666666666666,0.5166666666666667
class_Statin,51,0,finlayson_concat,0.9766666666666667,0.6111111111111112
class_Statin,51,1,finlayson_structure,0.9133333333333333,0.5357142857142857
class_Statin,51,1,finlayson_expression,0.7933333333333333,0.515625
class_Statin,51,1,finlayson_concat,0.8966666666666667,0.5303030303030303
