se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain,family
Embolism,51,0.095505617977528,0.6445012787723785,0.5542564852027767,0.6207120529371168,-0.0902447935696018,-0.0237892258352616,other
Embolism venous,36,0.0674157303370786,0.8152052655064703,0.5765283355644801,0.7738732708612226,-0.2386769299419902,-0.0413319946452477,other
Encephalopathy,35,0.0655430711610486,0.5598053249355854,0.5115373604351561,0.5261379902662467,-0.0482679645004293,-0.0336673346693386,other
Endocrine disorder,66,0.1235955056179775,0.522015022015022,0.4913558663558663,0.512950012950013,-0.0306591556591556,-0.009065009065009,other
Endophthalmitis,29,0.0543071161048689,0.6218504609081598,0.5193581427108228,0.5691362239672243,-0.1024923181973369,-0.0527142369409354,other
Eosinophilia,139,0.2602996254681648,0.5981604589745925,0.4576450232219288,0.4988434568800656,-0.1405154357526636,-0.0993170020945268,other
Epigastric discomfort,33,0.0617977528089887,0.6346095687413053,0.6034597471723221,0.67053771245388,-0.0311498215689831,0.0359281437125748,other
Epistaxis,173,0.3239700374531835,0.6135974252637983,0.5474036475429523,0.5723824315885546,-0.066193777720846,-0.0412149936752437,other
Erectile dysfunction,175,0.3277153558052434,0.6913808197373659,0.5029048945483486,0.5548109828889773,-0.1884759251890172,-0.1365698368483885,other
Eructation,84,0.1573033707865168,0.5465873015873015,0.5401322751322752,0.5492857142857143,-0.0064550264550262,0.0026984126984127,other
Erythema,204,0.3820224719101123,0.5345068330362448,0.4990790255496137,0.5077837195484254,-0.035427807486631,-0.0267231134878194,other
Erythema multiforme,201,0.3764044943820224,0.5412576755860337,0.5192655341909073,0.5287526332302452,-0.0219921413951263,-0.0125050423557884,other
Erythema nodosum,27,0.0505617977528089,0.5629337424209219,0.6085177880049675,0.5560669150412739,0.0455840455840456,-0.0068668273796479,other
Euphoric mood,80,0.149812734082397,0.6238160792951541,0.5414922907488986,0.603248898678414,-0.0823237885462555,-0.0205671806167401,other
Extrapyramidal disorder,69,0.1292134831460674,0.8294841826398628,0.6574411718871747,0.7883434626772636,-0.1720430107526881,-0.0411407199625991,on-target/neuro-endocrine
Extrasystoles,51,0.095505617977528,0.4607234198027036,0.5342832785288028,0.4925506434457841,0.0735598587260991,0.0318272236430804,other
Extravasation,32,0.0599250936329588,0.563558266932271,0.5892056772908366,0.5948082669322708,0.0256474103585656,0.0312499999999998,other
Eye disorder,209,0.3913857677902622,0.5833640044166359,0.5292013249907986,0.539815973500184,-0.0541626794258373,-0.0435480309164519,other
Eye haemorrhage,36,0.0674157303370786,0.5345269968763945,0.4245872378402498,0.4793061133422579,-0.1099397590361446,-0.0552208835341365,other
Eye irritation,67,0.1254681647940075,0.5505449199399151,0.6061555179136437,0.6235098596951004,0.0556105979737286,0.0729649397551853,other
Eye pain,110,0.2059925093632958,0.5408876500857632,0.4572469982847341,0.4693610634648371,-0.083640651801029,-0.0715265866209261,other
Eye pruritus,27,0.0505617977528089,0.637226970560304,0.6622835853605085,0.6739718021769304,0.0250566148002044,0.0367448316166264,other
Eyelid oedema,31,0.0580524344569288,0.6341306996729301,0.5306227153209774,0.6227153209773616,-0.1035079843519527,-0.0114153786955685,systemic/organ
Face oedema,126,0.2359550561797752,0.6274509803921569,0.465452847805789,0.500875350140056,-0.1619981325863678,-0.1265756302521008,systemic/organ
Faecal incontinence,33,0.0617977528089887,0.5181152845823505,0.4888405008165487,0.5097683421036715,-0.0292747837658017,-0.0083469424786789,other
Fatigue,339,0.6348314606741573,0.5901369034112397,0.567294455790031,0.5751304742455184,-0.0228424476212086,-0.0150064291657212,other
Febrile neutropenia,41,0.0767790262172284,0.7134517389798645,0.7417998317914213,0.845792311878494,0.0283480928115568,0.1323405728986295,other
Feeling abnormal,314,0.5880149812734082,0.6027649102489867,0.5408222350897511,0.5527214823393167,-0.0619426751592355,-0.0500434279096699,other
Feeling hot,39,0.0730337078651685,0.5386687386687388,0.5390831390831391,0.5727013727013728,0.0004144004144003,0.034032634032634,other
Flank pain,25,0.046816479400749,0.5292730844793714,0.6491944990176818,0.5673870333988212,0.1199214145383104,0.0381139489194498,other
Flat affect,46,0.0861423220973782,0.5887829650748396,0.5095776906628653,0.5668656450463293,-0.0792052744119743,-0.0219173200285103,other
