se,struct_s1,expr_s1,struct_s2,expr_s2
Haemoglobin,0.6127537080405933,0.5806824095758523,0.6081999739786625,0.5806824095758522
Haemoglobin decreased,0.6348832795596888,0.5342190168912507,0.5910419434427785,0.46646422471057125
Haemolytic anaemia,0.6013181192209325,0.5305429864253394,0.6358941569939013,0.5149763918945505
Haemoptysis,0.5968559837728195,0.5041654592871632,0.6118878585917126,0.4544334975369458
Haemorrhage,0.6508389397746616,0.5662316608575828,0.608105698305909,0.5799140795979574
Haemorrhage intracranial,0.6975529100529101,0.5763227513227513,0.6985449735449736,0.5808201058201058
Haemorrhoids,0.5174887448671647,0.5720081135902637,0.49334586652154555,0.5597882550833622
Hallucination,0.647214459345493,0.6159939146395912,0.6434937906173002,0.6020868817488796
Headache,0.6123566452711952,0.5780731907644572,0.6164025187844127,0.5714416086149728
Hearing impaired,0.6767037786774629,0.5379554655870445,0.660481331533963,0.5783850652271705
Hepatic enzyme increased,0.5538662650260024,0.5881951746284351,0.5303930205461934,0.5671374577282673
Hepatic failure,0.5761316872427984,0.5481290075605321,0.5750215331610681,0.5173700832615561
Hepatic function abnormal,0.5204028477166175,0.46258030908143777,0.5532954630020093,0.4780095750750379
Hepatic necrosis,0.5236549165120594,0.5915584415584416,0.5097866419294991,0.5719851576994435
Hepatic steatosis,0.5454270139309509,0.38438824954572987,0.6008479709267112,0.373182919442762
Hepatitis,0.5790998217468806,0.5124331550802139,0.5818924539512775,0.5339720736779561
Hepatitis cholestatic,0.4962026892430279,0.5128237051792829,0.5115164342629482,0.5249003984063745
Hepatobiliary disease,0.5889110054244603,0.5576405877258293,0.6071140959992707,0.5461534955100056
Hepatocellular injury,0.524709426241155,0.4821108869248913,0.5469038620023303,0.47790502713916283
Hepatomegaly,0.6028167890201085,0.49780561761889563,0.553622725821896,0.49078359399936167
Hepatotoxicity,0.6271357679850237,0.5428342198318129,0.6084747273645738,0.4820966927168454
Hernia,0.5062817617165443,0.5299265951439864,0.5070581592320722,0.5662055335968379
Herpes simplex,0.5415641279682955,0.4057336444117741,0.5604205950973186,0.4805522707660839
Herpes zoster,0.6112034574468085,0.5252992021276596,0.6547539893617021,0.49714095744680853
Hiccups,0.6642979585476079,0.4740532959326788,0.6413900576593424,0.5056568489948574
Hirsutism,0.6991452991452992,0.5776741776741776,0.7017353017353017,0.6010878010878011
Hostility,0.7227292020373515,0.44105475382003395,0.7331812393887945,0.47097835314091685
Hot flush,0.614849591375413,0.5129977395235611,0.5957224830464267,0.5264953921057207
Hyperacusis,0.6326129666011788,0.5614931237721021,0.6875442043222004,0.6213752455795678
Hyperaesthesia,0.5194092827004219,0.5422995780590717,0.5203586497890295,0.5174753867791843
Hyperbilirubinaemia,0.690499872119128,0.483986473045554,0.7146551479155419,0.4964335445735883
Hypercalcaemia,0.6747027897503909,0.596078245630654,0.6706294699947899,0.5755221901198314
Hypercholesterolaemia,0.59038420030218,0.5024282322469242,0.5445715519102093,0.48154543492337587
Hyperglycaemia,0.6686849543877682,0.5007227290247976,0.6608634202749583,0.4754272131568804
Hyperhidrosis,0.6251262484569633,0.571512737066547,0.6033694310402873,0.5609780047132757
Hyperkalaemia,0.5489149541372367,0.448975678353415,0.5600690338457606,0.436798875003995
Hyperkinesia,0.6649332897512852,0.49139749799423527,0.645410513178617,0.525242920393427
