se,struct,expr,set
Accommodation disorder,0.7884231536926147,0.6497005988023953,responsive
Acne,0.7061143984220907,0.6912598619329388,responsive
Acute coronary syndrome,0.5736699220815852,0.5052356943905792,responsive
Affect lability,0.5633679354094578,0.44322952710495955,responsive
Ageusia,0.4968039772727273,0.5908380681818182,responsive
Aggression,0.6604243751415841,0.6524201464924866,responsive
Agitation,0.685272998238721,0.5516528925619835,responsive
Agranulocytosis,0.6835719398711525,0.5690765926986399,responsive
Akathisia,0.8368141592920354,0.8179351032448378,responsive
Alanine aminotransferase increased,0.6631048749775139,0.5403849613239791,responsive
Albuminuria,0.5634898837315755,0.6542158747596815,responsive
Alopecia,0.558746089272992,0.5467893318464826,responsive
Amblyopia,0.5591800356506239,0.5368092691622104,responsive
Amenorrhoea,0.6665983046212742,0.6489608969100356,responsive
Amnesia,0.5997118441971383,0.48266096979332274,responsive
Anaemia,0.6533959975742875,0.5582777440873257,responsive
Anaphylactic shock,0.532817212324721,0.5168050244069272,responsive
Anaphylactoid reaction,0.531656050955414,0.6381528662420382,responsive
Angina pectoris,0.5507783265978148,0.5515267175572519,responsive
Angioedema,0.5328429435545152,0.5050913401623149,responsive
Angiopathy,0.6156568877551021,0.5877551020408163,responsive
Anxiety,0.49057806099226214,0.5458352298588985,responsive
Apathy,0.5903193612774451,0.5604790419161677,responsive
Aphasia,0.5922619047619048,0.7071641156462585,responsive
Aphthous stomatitis,0.6227057918452578,0.5451148477854709,responsive
Aplastic anaemia,0.6279569892473118,0.6441457586618877,responsive
Apnoea,0.47458584337349397,0.5748305722891566,responsive
