se,struct,expr_strongest,expr_exemplar
Lacrimal disorder,0.44283121597096187,0.6034050643851007,0.4699680235070435
Lacrimation increased,0.6244025157232705,0.48865408805031446,0.5596477987421384
Laryngeal oedema,0.581516870707674,0.6031651239175874,0.5531501940877874
Laryngeal pain,0.5067234147545028,0.43751542067604243,0.5206020231926968
Laryngitis,0.5740211640211641,0.5608465608465609,0.501005291005291
Laryngospasm,0.6231801852902249,0.48868721245351987,0.4663767567908237
Lethargy,0.5430280001245834,0.5162425639268695,0.4773102438720528
Leukocytoclastic vasculitis,0.5147569444444444,0.6269728535353535,0.48729482323232326
Leukocytosis,0.616324468329429,0.48390060171788163,0.48357907307886644
Leukopenia,0.6301312819164091,0.4957810068599733,0.5226948955662216
Libido decreased,0.5675200803212852,0.4967055722891567,0.5549071285140562
Libido increased,0.6657860824742268,0.48221649484536083,0.6019329896907216
Liver disorder,0.5664823811917127,0.5753615904394929,0.42106438822806724
Liver function test abnormal,0.5502065840330534,0.39157670265227246,0.5247767559642809
Liver injury,0.5604577240940878,0.4984106802288621,0.4741258741258742
Loss of consciousness,0.6027513920733705,0.5125232012228409,0.4807293372638934
Loss of libido,0.5866814445368062,0.5820633601182229,0.4703057171885102
